Trait,Species,Individuals,Deviation,Direction,Power,Directional_power,Mean_departure
Mean_Swim_Speed_SVL.second,8,5,50,Positive,1,1,0.5093
Mean_Swim_Speed_SVL.second,8,5,80,Negative,1,1,-0.7982
Mean_Swim_Speed_SVL.second,8,5,80,Positive,1,1,0.8141
Mean_Swim_Speed_SVL.second,8,8,0,Null,0.043,NA,0.0034
Mean_Swim_Speed_SVL.second,8,8,20,Negative,1,1,-0.1962
Mean_Swim_Speed_SVL.second,8,8,20,Positive,0.994,0.994,0.2037
Mean_Swim_Speed_SVL.second,8,8,50,Negative,1,1,-0.497
Mean_Swim_Speed_SVL.second,8,8,50,Positive,1,1,0.5039
Mean_Swim_Speed_SVL.second,8,8,80,Negative,1,1,-0.7992
Mean_Swim_Speed_SVL.second,8,8,80,Positive,1,1,0.8096
Mean_Swim_Speed_SVL.second,8,10,0,Null,0.056,NA,0.0023
Mean_Swim_Speed_SVL.second,8,10,20,Negative,1,1,-0.198
Mean_Swim_Speed_SVL.second,8,10,20,Positive,1,1,0.2037
Mean_Swim_Speed_SVL.second,8,10,50,Negative,1,1,-0.4979
Mean_Swim_Speed_SVL.second,8,10,50,Positive,1,1,0.5047
Mean_Swim_Speed_SVL.second,8,10,80,Negative,1,1,-0.7993
Mean_Swim_Speed_SVL.second,8,10,80,Positive,1,1,0.8081
Mean_Swim_Speed_SVL.second,9,5,0,Null,0.046,NA,0.0077
Mean_Swim_Speed_SVL.second,9,5,20,Negative,0.995,0.995,-0.1937
Mean_Swim_Speed_SVL.second,9,5,20,Positive,0.984,0.984,0.2094
Mean_Swim_Speed_SVL.second,9,5,50,Negative,1,1,-0.4964
Mean_Swim_Speed_SVL.second,9,5,50,Positive,1,1,0.5099
Mean_Swim_Speed_SVL.second,9,5,80,Negative,1,1,-0.7981
Mean_Swim_Speed_SVL.second,9,5,80,Positive,1,1,0.8127
Mean_Swim_Speed_SVL.second,9,8,0,Null,0.038,NA,0.0046
Mean_Swim_Speed_SVL.second,9,8,20,Negative,0.999,0.999,-0.1967
Mean_Swim_Speed_SVL.second,9,8,20,Positive,1,1,0.2042
Mean_Swim_Speed_SVL.second,9,8,50,Negative,1,1,-0.4976
Mean_Swim_Speed_SVL.second,9,8,50,Positive,1,1,0.5056
Mean_Swim_Speed_SVL.second,9,8,80,Negative,1,1,-0.7988
Mean_Swim_Speed_SVL.second,9,8,80,Positive,1,1,0.8079
Mean_Swim_Speed_SVL.second,9,10,0,Null,0.056,NA,0.0034
Mean_Swim_Speed_SVL.second,9,10,20,Negative,1,1,-0.1973
Mean_Swim_Speed_SVL.second,9,10,20,Positive,1,1,0.2032
Mean_Swim_Speed_SVL.second,9,10,50,Negative,1,1,-0.4987
Mean_Swim_Speed_SVL.second,9,10,50,Positive,1,1,0.5041
Mean_Swim_Speed_SVL.second,9,10,80,Negative,1,1,-0.7997
Mean_Swim_Speed_SVL.second,9,10,80,Positive,1,1,0.8035
Mean_Swim_Speed_SVL.second,10,5,0,Null,0.05,NA,0.0083
Mean_Swim_Speed_SVL.second,10,5,20,Negative,0.998,0.998,-0.1949
Mean_Swim_Speed_SVL.second,10,5,20,Positive,0.992,0.992,0.21
Mean_Swim_Speed_SVL.second,10,5,50,Negative,1,1,-0.496
Mean_Swim_Speed_SVL.second,10,5,50,Positive,1,1,0.5101
Mean_Swim_Speed_SVL.second,10,5,80,Negative,1,1,-0.7983
Mean_Swim_Speed_SVL.second,10,5,80,Positive,1,1,0.8126
Mean_Swim_Speed_SVL.second,10,8,0,Null,0.039,NA,0.005
Mean_Swim_Speed_SVL.second,10,8,20,Negative,1,1,-0.1973
Mean_Swim_Speed_SVL.second,10,8,20,Positive,1,1,0.2048
Mean_Swim_Speed_SVL.second,10,8,50,Negative,1,1,-0.4977
Mean_Swim_Speed_SVL.second,10,8,50,Positive,1,1,0.5057
Mean_Swim_Speed_SVL.second,10,8,80,Negative,1,1,-0.7992
Mean_Swim_Speed_SVL.second,10,8,80,Positive,1,1,0.8085
Mean_Swim_Speed_SVL.second,10,10,0,Null,0.046,NA,0.0037
Mean_Swim_Speed_SVL.second,10,10,20,Negative,1,1,-0.1978
Mean_Swim_Speed_SVL.second,10,10,20,Positive,1,1,0.2028
Mean_Swim_Speed_SVL.second,10,10,50,Negative,1,1,-0.4976
Mean_Swim_Speed_SVL.second,10,10,50,Positive,1,1,0.5045
Mean_Swim_Speed_SVL.second,10,10,80,Negative,1,1,-0.799
Mean_Swim_Speed_SVL.second,10,10,80,Positive,1,1,0.8047
Peak_Jump_Force_mN,4,5,0,Null,0.046,NA,0.0148
Peak_Jump_Force_mN,4,5,20,Negative,0.455,0.455,-0.1861
Peak_Jump_Force_mN,4,5,20,Positive,0.238,0.238,0.221
Peak_Jump_Force_mN,4,5,50,Negative,0.999,0.999,-0.4905
Peak_Jump_Force_mN,4,5,50,Positive,0.735,0.735,0.5216
Peak_Jump_Force_mN,4,5,80,Negative,1,1,-0.7967
Peak_Jump_Force_mN,4,5,80,Positive,0.93,0.93,0.8308
Peak_Jump_Force_mN,4,8,0,Null,0.065,NA,0.0066
Peak_Jump_Force_mN,4,8,20,Negative,0.608,0.608,-0.1926
Peak_Jump_Force_mN,4,8,20,Positive,0.341,0.341,0.2124
Peak_Jump_Force_mN,4,8,50,Negative,1,1,-0.4939
Peak_Jump_Force_mN,4,8,50,Positive,0.922,0.922,0.5254
Peak_Jump_Force_mN,4,8,80,Negative,1,1,-0.798
Peak_Jump_Force_mN,4,8,80,Positive,0.994,0.994,0.8196
